dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4415764331817627,0.017417688482593938,0.021232032775878908,0.0022475330022244623,10.0,0.101,19,19,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.101), ('model__max_depth', 19), ('model__min_child_weight', 19)])",0.834,0.84,0.829,0.859,0.845,0.8413999999999999,0.010326664514740477,3
0,0.44214277267456054,0.014626236324176383,0.02246103286743164,0.005596567123258967,10.0,0.101,16,19,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.101), ('model__max_depth', 16), ('model__min_child_weight', 19)])",0.834,0.84,0.829,0.859,0.845,0.8413999999999999,0.010326664514740477,3
0,1.261759376525879,0.014828448371187204,0.020712804794311524,0.004432196512983987,0.0001,0.05908853050739715,6,0,"OrderedDict([('model__alpha', 0.0001), ('model__eta', 0.05908853050739715), ('model__max_depth', 6), ('model__min_child_weight', 0)])",0.832,0.838,0.826,0.852,0.849,0.8394,0.009871170143402462,11
0,0.11219758987426758,0.00459726268319112,0.012472772598266601,0.001116629617368353,0.0001,0.101,1,0,"OrderedDict([('model__alpha', 0.0001), ('model__eta', 0.101), ('model__max_depth', 1), ('model__min_child_weight', 0)])",0.834,0.831,0.819,0.842,0.843,0.8338000000000001,0.008704022058795585,38
0,3.4654162406921385,0.04504283307937785,0.027596426010131837,0.00545283967148588,2.8345576067379623,0.09420067534518207,9,0,"OrderedDict([('model__alpha', 2.8345576067379623), ('model__eta', 0.09420067534518207), ('model__max_depth', 9), ('model__min_child_weight', 0)])",0.837,0.837,0.817,0.84,0.843,0.8347999999999999,0.00917387595294378,36
0,0.5654166221618653,0.011354465568508056,0.02203526496887207,0.0027303982753823395,10.0,0.05005071517922373,7,7,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.05005071517922373), ('model__max_depth', 7), ('model__min_child_weight', 7)])",0.834,0.833,0.829,0.846,0.846,0.8375999999999999,0.0070597450378891225,21
0,7.866062211990356,0.23503018328246578,0.03271613121032715,0.006090042468167969,0.0001,0.01,10,0,"OrderedDict([('model__alpha', 0.0001), ('model__eta', 0.01), ('model__max_depth', 10), ('model__min_child_weight', 0)])",0.826,0.828,0.831,0.838,0.83,0.8305999999999999,0.004079215610874232,42
0,0.47726101875305177,0.013728661073865035,0.01788015365600586,0.00036583074190596097,10.0,0.01,19,19,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.01), ('model__max_depth', 19), ('model__min_child_weight', 19)])",0.817,0.804,0.816,0.814,0.817,0.8135999999999999,0.00492341345003643,48
0,0.47112178802490234,0.018528014210976204,0.0259307861328125,0.006020956777716871,10.0,0.06490668522257452,13,19,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.06490668522257452), ('model__max_depth', 13), ('model__min_child_weight', 19)])",0.839,0.835,0.823,0.854,0.846,0.8394,0.010442221985765299,11
0,0.44097251892089845,0.015588894613401672,0.022305059432983398,0.0016646439583087708,10.0,0.0829169474057191,17,19,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.0829169474057191), ('model__max_depth', 17), ('model__min_child_weight', 19)])",0.836,0.835,0.823,0.855,0.851,0.8399999999999999,0.011627553482998916,8
0,0.09559617042541504,0.005224794494277186,0.012919998168945313,0.0011991883410283738,10.0,0.101,1,19,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.101), ('model__max_depth', 1), ('model__min_child_weight', 19)])",0.828,0.835,0.823,0.845,0.846,0.8353999999999999,0.009090654541890817,35
0,3.1649386405944826,0.05763130951462037,0.026744365692138672,0.0028508565918878084,10.0,0.0477204603211238,13,0,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.0477204603211238), ('model__max_depth', 13), ('model__min_child_weight', 0)])",0.831,0.838,0.823,0.843,0.847,0.8364,0.008569714114251429,27
0,0.6041289806365967,0.01961305012916173,0.019052410125732423,0.001823995828403394,0.6291543806183914,0.011826669253809043,8,18,"OrderedDict([('model__alpha', 0.6291543806183914), ('model__eta', 0.011826669253809043), ('model__max_depth', 8), ('model__min_child_weight', 18)])",0.839,0.821,0.812,0.836,0.829,0.8273999999999999,0.009891410415102565,45
0,18.782210779190063,0.2897696766786097,0.04377484321594238,0.007987944511305219,0.0036602101583280036,0.05052166435405009,19,0,"OrderedDict([('model__alpha', 0.0036602101583280036), ('model__eta', 0.05052166435405009), ('model__max_depth', 19), ('model__min_child_weight', 0)])",0.823,0.837,0.83,0.846,0.846,0.8363999999999999,0.009002221947941527,28
0,0.5623091220855713,0.016868504101597043,0.024210023880004882,0.0021600512973022797,0.00015248189744981736,0.08195294816715769,19,19,"OrderedDict([('model__alpha', 0.00015248189744981736), ('model__eta', 0.08195294816715769), ('model__max_depth', 19), ('model__min_child_weight', 19)])",0.827,0.844,0.83,0.842,0.853,0.8392,0.0095372952140531,13
0,0.34866724014282224,0.013447180812648543,0.020258569717407228,0.002317533444555931,0.00015468103411011785,0.10067718084770302,6,17,"OrderedDict([('model__alpha', 0.00015468103411011785), ('model__eta', 0.10067718084770302), ('model__max_depth', 6), ('model__min_child_weight', 17)])",0.832,0.833,0.828,0.837,0.848,0.8356,0.006829348431585555,33
0,0.11196255683898926,0.007353246062567623,0.012540769577026368,0.0004927503177254263,0.006970494061527642,0.013608443839114278,1,0,"OrderedDict([('model__alpha', 0.006970494061527642), ('model__eta', 0.013608443839114278), ('model__max_depth', 1), ('model__min_child_weight', 0)])",0.801,0.798,0.811,0.789,0.807,0.8012,0.007600000000000007,49
0,0.3463538646697998,0.004118006128158627,0.026376724243164062,0.002525611440158545,0.3273494213400683,0.06538639817127749,4,19,"OrderedDict([('model__alpha', 0.3273494213400683), ('model__eta', 0.06538639817127749), ('model__max_depth', 4), ('model__min_child_weight', 19)])",0.827,0.839,0.825,0.847,0.85,0.8375999999999999,0.010150862032359625,21
0,3.6486961364746096,0.05751698256151477,0.02865629196166992,0.004927878550538494,5.546749092920567,0.06094273173501646,10,0,"OrderedDict([('model__alpha', 5.546749092920567), ('model__eta', 0.06094273173501646), ('model__max_depth', 10), ('model__min_child_weight', 0)])",0.836,0.835,0.826,0.846,0.845,0.8375999999999999,0.007337574531137663,21
0,0.7207795143127441,0.017167551458342277,0.01856207847595215,0.0009556431355568503,10.0,0.034122768243556825,5,0,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.034122768243556825), ('model__max_depth', 5), ('model__min_child_weight', 0)])",0.828,0.839,0.824,0.846,0.849,0.8371999999999999,0.009785703858180061,26
0,0.10739984512329101,0.003487056711294386,0.01232752799987793,0.00035821175911664085,8.747856980439336,0.07585425946596479,1,0,"OrderedDict([('model__alpha', 8.747856980439336), ('model__eta', 0.07585425946596479), ('model__max_depth', 1), ('model__min_child_weight', 0)])",0.832,0.831,0.821,0.845,0.84,0.8337999999999999,0.00823164625090268,39
0,0.44646296501159666,0.01397611315328379,0.016686773300170897,0.0007154826535447877,10.0,0.07492619157256691,4,0,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.07492619157256691), ('model__max_depth', 4), ('model__min_child_weight', 0)])",0.828,0.837,0.827,0.851,0.848,0.8382,0.009907572861200677,19
0,5.895647859573364,0.11771500764401327,0.028790044784545898,0.004085826664537675,7.142325596024289,0.01,15,0,"OrderedDict([('model__alpha', 7.142325596024289), ('model__eta', 0.01), ('model__max_depth', 15), ('model__min_child_weight', 0)])",0.826,0.819,0.819,0.828,0.827,0.8238,0.003969886648255845,46
0,0.4962337493896484,0.009655896277794083,0.024393320083618164,0.003730705736347441,8.617782919289589,0.10055145201108787,13,16,"OrderedDict([('model__alpha', 8.617782919289589), ('model__eta', 0.10055145201108787), ('model__max_depth', 13), ('model__min_child_weight', 16)])",0.829,0.836,0.829,0.856,0.854,0.8408,0.011889491158161491,6
0,0.6019020080566406,0.01934681876488938,0.024727869033813476,0.0025768641598859212,0.000740323857747975,0.04076020644865785,15,19,"OrderedDict([('model__alpha', 0.000740323857747975), ('model__eta', 0.04076020644865785), ('model__max_depth', 15), ('model__min_child_weight', 19)])",0.828,0.838,0.826,0.856,0.852,0.8400000000000001,0.012198360545581537,7
0,16.261354780197145,0.31655670233695105,0.04124383926391602,0.009494491806597833,0.0700725874402438,0.045617977041371015,16,0,"OrderedDict([('model__alpha', 0.0700725874402438), ('model__eta', 0.045617977041371015), ('model__max_depth', 16), ('model__min_child_weight', 0)])",0.828,0.838,0.834,0.839,0.842,0.8362,0.004833218389437833,30
0,0.5424860954284668,0.040141017223337426,0.02578425407409668,0.003608601244317272,0.0001,0.101,15,19,"OrderedDict([('model__alpha', 0.0001), ('model__eta', 0.101), ('model__max_depth', 15), ('model__min_child_weight', 19)])",0.831,0.84,0.829,0.842,0.851,0.8385999999999999,0.007964923100695957,14
0,0.5307859420776367,0.01043113391774411,0.023473072052001952,0.0015867482884527062,2.254230165170756,0.06387348942813949,19,19,"OrderedDict([('model__alpha', 2.254230165170756), ('model__eta', 0.06387348942813949), ('model__max_depth', 19), ('model__min_child_weight', 19)])",0.836,0.84,0.83,0.851,0.851,0.8416,0.008309031231136401,2
0,0.09542503356933593,0.005271979084752899,0.015470170974731445,0.0016928981787641434,0.0006777308110929012,0.07894486377882565,1,19,"OrderedDict([('model__alpha', 0.0006777308110929012), ('model__eta', 0.07894486377882565), ('model__max_depth', 1), ('model__min_child_weight', 19)])",0.83,0.832,0.821,0.842,0.844,0.8337999999999999,0.008400000000000008,39
0,0.5206377983093262,0.02768311965491728,0.02124948501586914,0.001120026289414481,2.9889419349954687,0.04212581720318003,19,19,"OrderedDict([('model__alpha', 2.9889419349954687), ('model__eta', 0.04212581720318003), ('model__max_depth', 19), ('model__min_child_weight', 19)])",0.831,0.838,0.823,0.849,0.851,0.8384,0.010613199329137289,17
0,0.5301623821258545,0.022076422365096625,0.026242685317993165,0.0044565312703582155,0.0010087607339656294,0.10012235993884848,19,19,"OrderedDict([('model__alpha', 0.0010087607339656294), ('model__eta', 0.10012235993884848), ('model__max_depth', 19), ('model__min_child_weight', 19)])",0.827,0.837,0.828,0.843,0.843,0.8356,0.006974238309665084,33
0,2.349288749694824,0.03279053013328531,0.02394580841064453,0.0020372340266377057,0.0001,0.03569752159911865,7,0,"OrderedDict([('model__alpha', 0.0001), ('model__eta', 0.03569752159911865), ('model__max_depth', 7), ('model__min_child_weight', 0)])",0.835,0.84,0.834,0.854,0.846,0.8417999999999999,0.007440430095095317,1
1,0.1853921890258789,0.00205273509327377,0.014909696578979493,0.001264980835917913,0.011233621690895234,0.07622304262913658,18,6,"OrderedDict([('model__alpha', 0.011233621690895234), ('model__eta', 0.07622304262913658), ('model__max_depth', 18), ('model__min_child_weight', 6)])",0.945,0.939,0.942,0.948,0.95,0.9447999999999999,0.003969886648255845,30
1,0.099373197555542,0.006895475692922119,0.009692955017089843,0.0003950242140088503,1.537948446580078,0.09038169024165847,6,18,"OrderedDict([('model__alpha', 1.537948446580078), ('model__eta', 0.09038169024165847), ('model__max_depth', 6), ('model__min_child_weight', 18)])",0.94,0.946,0.937,0.949,0.945,0.9433999999999999,0.004317406628984551,34
1,0.07624759674072265,0.003200815825951808,0.006790781021118164,0.0009490871088773512,0.016755699440936588,0.09360374947191331,3,8,"OrderedDict([('model__alpha', 0.016755699440936588), ('model__eta', 0.09360374947191331), ('model__max_depth', 3), ('model__min_child_weight', 8)])",0.932,0.94,0.938,0.933,0.936,0.9357999999999999,0.0029933259094191084,43
1,0.12001824378967285,0.0056153256843622075,0.00975193977355957,0.0008449573629844013,1.1533999859559563,0.025640312087087024,12,15,"OrderedDict([('model__alpha', 1.1533999859559563), ('model__eta', 0.025640312087087024), ('model__max_depth', 12), ('model__min_child_weight', 15)])",0.939,0.944,0.937,0.943,0.944,0.9414000000000001,0.002870540018881433,39
1,0.11578707695007324,0.004815399428360893,0.010192108154296876,0.0003166438360797796,0.9948719998234101,0.04986065596612403,10,14,"OrderedDict([('model__alpha', 0.9948719998234101), ('model__eta', 0.04986065596612403), ('model__max_depth', 10), ('model__min_child_weight', 14)])",0.944,0.945,0.94,0.95,0.944,0.9446,0.0032000000000000028,31
