dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.1622119426727293,0.03351086992570489,0.07365736961364747,0.0008548953231472971,0.1959828624191452,1017,41,1749,"{'model__max_features': 0.1959828624191452, 'model__min_samples_leaf': 1017, 'model__min_samples_split': 41, 'model__n_estimators': 1749}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.557919406890869,0.03675973735251952,0.0651235580444336,0.0007991484776149175,0.388677289689482,338,48,1077,"{'model__max_features': 0.388677289689482, 'model__min_samples_leaf': 338, 'model__min_samples_split': 48, 'model__n_estimators': 1077}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.134172248840332,0.02574716330006764,0.044516706466674806,0.0012186944964986588,0.5867511656638482,4860,46,1065,"{'model__max_features': 0.5867511656638482, 'model__min_samples_leaf': 4860, 'model__min_samples_split': 46, 'model__n_estimators': 1065}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.0510890007019045,0.06874170922454581,0.07804431915283203,0.006250546049862031,0.2962735057040824,3885,2,1881,"{'model__max_features': 0.2962735057040824, 'model__min_samples_leaf': 3885, 'model__min_samples_split': 2, 'model__n_estimators': 1881}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.5952915668487548,0.04135818910148144,0.06008596420288086,0.0013994443653599698,0.9868869366005173,2028,9,1496,"{'model__max_features': 0.9868869366005173, 'model__min_samples_leaf': 2028, 'model__min_samples_split': 9, 'model__n_estimators': 1496}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.4869699001312256,0.01798295006996918,0.024285221099853517,0.003948514710765843,0.014079822715084456,392,36,419,"{'model__max_features': 0.014079822715084456, 'model__min_samples_leaf': 392, 'model__min_samples_split': 36, 'model__n_estimators': 419}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.082014799118042,0.023088794517269053,0.04873766899108887,0.006562048473295315,0.7712703466859457,3562,40,1018,"{'model__max_features': 0.7712703466859457, 'model__min_samples_leaf': 3562, 'model__min_samples_split': 40, 'model__n_estimators': 1018}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.2082278251647949,0.02596980510207115,0.04969601631164551,0.0004863022629955183,0.11586905952512971,201,9,780,"{'model__max_features': 0.11586905952512971, 'model__min_samples_leaf': 201, 'model__min_samples_split': 9, 'model__n_estimators': 780}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.6936652660369873,0.04318753649942713,0.06419854164123535,0.004861952213646332,0.3308980248526492,4599,24,1598,"{'model__max_features': 0.3308980248526492, 'model__min_samples_leaf': 4599, 'model__min_samples_split': 24, 'model__n_estimators': 1598}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.7627521991729737,0.004213663531728155,0.032845163345336915,0.001996647009672414,0.32518332202674705,2732,41,726,"{'model__max_features': 0.32518332202674705, 'model__min_samples_leaf': 2732, 'model__min_samples_split': 41, 'model__n_estimators': 726}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.1360654830932617,0.08007109248569025,0.04350390434265137,0.0009577304960168137,0.8872127425763265,2691,2,1029,"{'model__max_features': 0.8872127425763265, 'model__min_samples_leaf': 2691, 'model__min_samples_split': 2, 'model__n_estimators': 1029}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.8408967018127441,0.0027229143035242902,0.03568210601806641,0.00290273612762834,0.5612771975694962,4494,40,795,"{'model__max_features': 0.5612771975694962, 'model__min_samples_leaf': 4494, 'model__min_samples_split': 40, 'model__n_estimators': 795}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.7028223037719727,0.02821329536219291,0.06412777900695801,0.0013202295343572538,0.5227328293819941,1485,52,1599,"{'model__max_features': 0.5227328293819941, 'model__min_samples_leaf': 1485, 'model__min_samples_split': 52, 'model__n_estimators': 1599}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,6.009934759140014,0.10292293522787396,0.09524192810058593,0.001949300053274677,0.8957635956735194,564,33,1924,"{'model__max_features': 0.8957635956735194, 'model__min_samples_leaf': 564, 'model__min_samples_split': 33, 'model__n_estimators': 1924}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.5811373233795166,0.007519655890467614,0.025621509552001952,0.0005610804999026339,0.907566473926093,1679,44,541,"{'model__max_features': 0.907566473926093, 'model__min_samples_leaf': 1679, 'model__min_samples_split': 44, 'model__n_estimators': 541}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.164388942718506,0.006903020310410413,0.0460930347442627,0.0008461008988804804,0.22879816549162246,1723,52,1110,"{'model__max_features': 0.22879816549162246, 'model__min_samples_leaf': 1723, 'model__min_samples_split': 52, 'model__n_estimators': 1110}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.673889970779419,0.018222437710413607,0.06247024536132813,0.0012010864456795923,0.8804678390152577,2730,46,1598,"{'model__max_features': 0.8804678390152577, 'model__min_samples_leaf': 2730, 'model__min_samples_split': 46, 'model__n_estimators': 1598}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.1316009998321532,0.039234639146447606,0.04478211402893066,0.002100415940356477,0.6334037565104235,2694,29,1052,"{'model__max_features': 0.6334037565104235, 'model__min_samples_leaf': 2694, 'model__min_samples_split': 29, 'model__n_estimators': 1052}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.097438383102417,0.0461583995835042,0.07712507247924805,0.0010055955620921163,0.2184404372168336,1364,31,1982,"{'model__max_features': 0.2184404372168336, 'model__min_samples_leaf': 1364, 'model__min_samples_split': 31, 'model__n_estimators': 1982}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.4823265552520752,0.03055083449431394,0.05874018669128418,0.005730235194899105,0.5393422419156507,1530,56,1372,"{'model__max_features': 0.5393422419156507, 'model__min_samples_leaf': 1530, 'model__min_samples_split': 56, 'model__n_estimators': 1372}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.4650972366333008,0.006963283955994403,0.05560922622680664,0.0007215312317022102,0.3562978380769749,2238,34,1409,"{'model__max_features': 0.3562978380769749, 'model__min_samples_leaf': 2238, 'model__min_samples_split': 34, 'model__n_estimators': 1409}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.6620706081390381,0.0017487434535295532,0.028439855575561522,0.0010640763722652498,0.22793516254194168,4030,58,628,"{'model__max_features': 0.22793516254194168, 'model__min_samples_leaf': 4030, 'model__min_samples_split': 58, 'model__n_estimators': 628}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.7607461929321289,0.01610502927800329,0.031108808517456055,0.0004910143296709929,0.352568856334169,1283,40,710,"{'model__max_features': 0.352568856334169, 'model__min_samples_leaf': 1283, 'model__min_samples_split': 40, 'model__n_estimators': 710}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.304726505279541,0.0054437033719347515,0.05034828186035156,0.0007881205027597259,0.5107473025775657,4745,38,1249,"{'model__max_features': 0.5107473025775657, 'model__min_samples_leaf': 4745, 'model__min_samples_split': 38, 'model__n_estimators': 1249}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.0846909999847414,0.012176653386638925,0.07707252502441406,0.0019547283913254323,0.1198653673336828,4780,25,1999,"{'model__max_features': 0.1198653673336828, 'model__min_samples_leaf': 4780, 'model__min_samples_split': 25, 'model__n_estimators': 1999}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.5688582897186278,0.013512871344857258,0.05964078903198242,0.001565135408157412,0.16829104217293056,3744,33,1496,"{'model__max_features': 0.16829104217293056, 'model__min_samples_leaf': 3744, 'model__min_samples_split': 33, 'model__n_estimators': 1496}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.49234328269958494,0.03159757934481454,0.02107973098754883,0.0005664854218188309,0.7030189588951778,1854,50,442,"{'model__max_features': 0.7030189588951778, 'model__min_samples_leaf': 1854, 'model__min_samples_split': 50, 'model__n_estimators': 442}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.4739735126495361,0.005975065480872159,0.056682157516479495,0.0007261239921733486,0.9624472949421112,3582,40,1410,"{'model__max_features': 0.9624472949421112, 'model__min_samples_leaf': 3582, 'model__min_samples_split': 40, 'model__n_estimators': 1410}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.0020084857940674,0.006606010241495722,0.04022669792175293,0.0010220537926925982,0.712270589924442,1637,50,952,"{'model__max_features': 0.712270589924442, 'model__min_samples_leaf': 1637, 'model__min_samples_split': 50, 'model__n_estimators': 952}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.6857419490814209,0.0032418341437761853,0.02905383110046387,0.0005969652456693333,0.036886947354532795,2161,3,642,"{'model__max_features': 0.036886947354532795, 'model__min_samples_leaf': 2161, 'model__min_samples_split': 3, 'model__n_estimators': 642}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.734820318222046,0.05571710015987035,0.08572902679443359,0.010124789650723637,0.4110370133182313,855,38,1760,"{'model__max_features': 0.4110370133182313, 'model__min_samples_leaf': 855, 'model__min_samples_split': 38, 'model__n_estimators': 1760}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.1296188354492187,0.01045903208879888,0.044128799438476564,0.0009569964314920365,0.9082658859666537,3475,3,1077,"{'model__max_features': 0.9082658859666537, 'model__min_samples_leaf': 3475, 'model__min_samples_split': 3, 'model__n_estimators': 1077}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.27256321907043457,0.00768012220295562,0.01474137306213379,0.000779145400091257,0.489452760277563,1734,33,247,"{'model__max_features': 0.489452760277563, 'model__min_samples_leaf': 1734, 'model__min_samples_split': 33, 'model__n_estimators': 247}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.4980610370635986,0.008470651704006982,0.013184309005737305,0.0002665887339836397,0.6721355474058786,203,57,123,"{'model__max_features': 0.6721355474058786, 'model__min_samples_leaf': 203, 'model__min_samples_split': 57, 'model__n_estimators': 123}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.955009365081787,0.02707893160031539,0.07354912757873536,0.0006036543088992595,0.24215993827742588,4390,25,1861,"{'model__max_features': 0.24215993827742588, 'model__min_samples_leaf': 4390, 'model__min_samples_split': 25, 'model__n_estimators': 1861}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,7.426141595840454,0.1481666449484622,0.12018518447875977,0.000899006519161448,0.6323058305935795,198,23,1931,"{'model__max_features': 0.6323058305935795, 'model__min_samples_leaf': 198, 'model__min_samples_split': 23, 'model__n_estimators': 1931}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
