dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.710094690322876,0.02756814509697695,0.02950315475463867,0.0016257216127864692,3.963066389815045,0.11861663446573512,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.11861663446573512, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9344793874805201,0.9286716806535605,0.9090706701125727,0.9007850083727773,0.9250128253525762,0.9196039143944013,0.012632187943277648,31
0,0.4905205726623535,0.06520758261901138,0.029367923736572266,0.00993776860343824,3.963066389815045,0.28570714885887566,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.28570714885887566, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9324854081365973,0.9294363620524436,0.9053150196978057,0.8992556455750114,0.9242481439536934,0.9181481158831103,0.013355198128421366,68
0,0.48073883056640626,0.031722762428659936,0.022237539291381836,0.00074458223789279,3.963066389815045,0.22227824312530747,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.22227824312530747, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9379059345084261,0.9300171327351395,0.9044148251396269,0.9025853974891347,0.92660994472999,0.9203066469204634,0.014215151793474908,17
0,0.5544826507568359,0.05230980419883603,0.030049705505371095,0.0052477686218701195,3.963066389815045,0.18361096041714062,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.18361096041714062, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9352440688794029,0.929378284984174,0.9096514407952686,0.8977166032658671,0.9208796739940569,0.9185740143837539,0.013524666090636583,54
0,0.8360247611999512,0.04317850104243576,0.03366475105285645,0.007380755605080485,3.963066389815045,0.055245405728306586,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.055245405728306586, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9357183649369379,0.926900330071338,0.909225542294625,0.8972907047652234,0.9213055724947005,0.918088102912565,0.013490072998049612,69
0,0.8670766353607178,0.03594063751169761,0.03391876220703125,0.008114475146357996,3.963066389815045,0.055238410897498764,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.055238410897498764, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9347504137991115,0.926900330071338,0.9070573317458934,0.8983264124826978,0.9213055724947005,0.9176680121187483,0.013243564489153495,77
0,0.8507179260253906,0.053147189944715977,0.0317568302154541,0.00843327937485233,3.963066389815045,0.026844247528777843,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.026844247528777843, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.927481100754034,0.9224961523942272,0.9059248289146364,0.893743163845089,0.9180822952057381,0.913545508222745,0.012207414160091239,93
0,0.483836030960083,0.058378156654264955,0.0244997501373291,0.0014091138988272308,3.963066389815045,0.2611910822747312,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.2611910822747312, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9360668273465556,0.9255258394556243,0.9095643251928642,0.8990330168133113,0.9241803873740454,0.91887407923648,0.01302561081925134,49
0,0.5653729438781738,0.023249408368816064,0.035144472122192384,0.004755346190543354,3.963066389815045,0.18432335340553055,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.18432335340553055, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9372767662688387,0.9316723291808229,0.9053730967660754,0.8988103880516112,0.9254484033645981,0.9197161967263894,0.015013049335056972,27
0,0.5255635261535645,0.022003773360944157,0.028541183471679686,0.004759271761707076,3.963066389815045,0.21534104756085318,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.21534104756085318, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9405097230691796,0.9265615471730987,0.9082188731112854,0.8962840355818839,0.9235125010889451,0.9190173360048786,0.015313092972955413,48
