dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.40573916435241697,0.012350494651836188,0.01802716255187988,0.0017628210540024257,3.963066389815045,0.10674596881842251,7,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 7, 'model__min_child_weight': 1}",0.9382059993611522,0.9301623254058136,0.9069895751662456,0.8997251018768573,0.9186049888201643,0.9187375981260466,0.014205996497152677,56
0,0.25115084648132324,0.004326163892275763,0.01713838577270508,0.0017190072050123518,3.963066389815045,0.10674596881842251,4,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 4, 'model__min_child_weight': 1}",0.9355538132435074,0.9148880564509104,0.9002332762242163,0.8857430476909526,0.9142685677227013,0.9101373522664578,0.016606055750628936,76
0,0.5038593769073486,0.024388764463138164,0.019203853607177735,0.0011710197803783753,3.963066389815045,0.10674596881842251,13,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 13, 'model__min_child_weight': 1}",0.9373445228484867,0.9282361026415387,0.9092739398515163,0.9035339896042047,0.9232705133044884,0.9203318136500469,0.012369231827482365,39
0,0.5072131156921387,0.0291349282473895,0.019385623931884765,0.0016602088743697787,3.963066389815045,0.10674596881842251,15,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 15, 'model__min_child_weight': 1}",0.937247727734704,0.9291362971997175,0.9106968280241213,0.9044922612306531,0.921470124188131,0.9206086476754652,0.011902134382096375,27
0,0.44598946571350095,0.020107220312295723,0.02233896255493164,0.008436772097723122,3.963066389815045,0.10674596881842251,11,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 11, 'model__min_child_weight': 1}",0.9386802954186872,0.931643290646688,0.9090997086467075,0.8985877592899111,0.9230769230769231,0.9202175954157834,0.014635920023166193,44
0,0.39295759201049807,0.016479168786770887,0.0183316707611084,0.0016067726983580337,3.963066389815045,0.10674596881842251,8,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 8, 'model__min_child_weight': 1}",0.9366766365633863,0.9304333517244049,0.9060700215853104,0.9013270610099602,0.9217121119725876,0.9192438365711298,0.013636424723385217,49
0,0.48325142860412595,0.01953865256135016,0.018619441986083986,0.001159181751729534,3.963066389815045,0.10674596881842251,13,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 13, 'model__min_child_weight': 1}",0.9373445228484867,0.9282361026415387,0.9092739398515163,0.9035339896042047,0.9232705133044884,0.9203318136500469,0.012369231827482365,39
0,0.27109923362731936,0.012095127733193708,0.01761932373046875,0.00342244505599391,3.963066389815045,0.10674596881842251,5,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 5, 'model__min_child_weight': 1}",0.9371896506664343,0.9214798036995092,0.9017529595106039,0.8940674274762609,0.9175886401254465,0.914415696295651,0.015185645396072919,69
0,0.37267470359802246,0.013570352771598551,0.018022584915161132,0.002936928809370693,3.963066389815045,0.10674596881842251,7,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 7, 'model__min_child_weight': 1}",0.9382059993611522,0.9301623254058136,0.9069895751662456,0.8997251018768573,0.9186049888201643,0.9187375981260466,0.014205996497152677,56
0,0.43894457817077637,0.027136179481241987,0.017191457748413085,0.0006915006813283764,3.963066389815045,0.10674596881842251,10,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10674596881842251, 'model__max_depth': 10, 'model__min_child_weight': 1}",0.9369670219047342,0.9323692540000581,0.9115002274685174,0.9004075074290249,0.9258936608879984,0.9214275343380667,0.013575979834216548,13
