dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,params_str
2,0.050297784805297854,0.006902972727594654,0.014719724655151367,0.0042656665500225505,gini,17,54,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 54, 'model__min_samples_split': 58}",0.8773412318146181,0.8715625635217935,0.8457182681418243,0.8369147525432916,0.8379988578176574,0.8539071347678371,0.017144928898606002,108,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 54, 'model__min_samples_split': 58}"
2,0.052323436737060545,0.005276528212699702,0.011644220352172852,0.0018820385437445773,gini,17,42,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 42, 'model__min_samples_split': 58}",0.8763394023869675,0.8736726970022554,0.8410237051233653,0.8331929804183484,0.8296115612083901,0.8507680692278653,0.020149189874825005,181,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 42, 'model__min_samples_split': 58}"
2,0.0683971881866455,0.006522199135600489,0.011279010772705078,0.0030176078856428644,gini,17,4,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 4, 'model__min_samples_split': 58}",0.8609586588069035,0.9171095043122223,0.8564334872375642,0.8750617068850365,0.8485059674187647,0.8716138649320981,0.024329788444392826,6,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 4, 'model__min_samples_split': 58}"
2,0.051056194305419925,0.005788604034146458,0.010087013244628906,0.00185658704537696,gini,17,54,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 54, 'model__min_samples_split': 58}",0.8787350814530883,0.871325415493026,0.8458150632556068,0.8369147525432916,0.8379988578176574,0.8541578341125341,0.01747458233988855,103,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 54, 'model__min_samples_split': 58}"
2,0.05286870002746582,0.004904331482748361,0.009680366516113282,0.0036695212513614267,gini,17,29,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 29, 'model__min_samples_split': 58}",0.8666114934518105,0.8679279069992547,0.8544346681379522,0.8309957313354821,0.8616313848476929,0.8563202369544385,0.01351844821504529,88,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 29, 'model__min_samples_split': 58}"
2,0.057885169982910156,0.005301688988651709,0.009980583190917968,0.0015870637877490464,gini,17,18,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 18, 'model__min_samples_split': 58}",0.8500692085063545,0.891700786944275,0.8368034381624415,0.8550831954002962,0.8542459176660762,0.8575805093358888,0.018273783129220327,65,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 18, 'model__min_samples_split': 58}"
2,0.05738639831542969,0.006815688121410903,0.010178041458129884,0.0023959004963433122,gini,17,26,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 26, 'model__min_samples_split': 58}",0.8615152307111537,0.8636447232143722,0.8453359274423827,0.8293792529353119,0.8650240535857749,0.8529798375777992,0.0137627963616004,128,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 26, 'model__min_samples_split': 58}"
2,0.04691104888916016,0.0023439052589423756,0.01022796630859375,0.004898846425591704,gini,17,44,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 44, 'model__min_samples_split': 58}",0.8742147496394383,0.8690120122736205,0.8561963392087968,0.8260543407768774,0.8296357599868358,0.8510226403771138,0.01984476369535602,175,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 44, 'model__min_samples_split': 58}"
2,0.05151734352111816,0.002914606550480348,0.009450054168701172,0.0034164647442512337,gini,17,34,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 34, 'model__min_samples_split': 58}",0.8793836087154321,0.8652370028360968,0.8368034381624416,0.8280967176776917,0.8502966770237438,0.8519634888830812,0.018602566014819497,157,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 34, 'model__min_samples_split': 58}"
2,0.05953249931335449,0.005499110698579196,0.01098804473876953,0.004569408625005106,gini,17,10,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8615684680237342,0.9028951418532392,0.8473202272749272,0.8734210297064204,0.8630929910658109,0.8696595715848264,0.018581625004355066,16,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
2,0.04984431266784668,0.004048166297367678,0.010586357116699219,0.0026598428282626,gini,17,36,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 36, 'model__min_samples_split': 58}",0.869941245365934,0.8687119474208942,0.8334059296686702,0.8356757750868735,0.850519305785444,0.8516508406655632,0.015588329843399227,167,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 36, 'model__min_samples_split': 58}"
2,0.05702643394470215,0.001859623293533101,0.009869718551635742,0.002722519410498121,gini,17,14,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 14, 'model__min_samples_split': 58}",0.856752911113047,0.8879838545750209,0.8420884513749747,0.8736484982238095,0.846618462700003,0.8614184355973709,0.01714497316311366,42,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 14, 'model__min_samples_split': 58}"
2,0.048954200744628903,0.0038955123617482657,0.011356782913208009,0.002404887850099356,gini,17,31,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 31, 'model__min_samples_split': 58}",0.8785221322027665,0.868663549864003,0.8367356815827935,0.8315135851942194,0.8431144795810708,0.8517098856849706,0.018505791744877053,166,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 31, 'model__min_samples_split': 58}"
