dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04277734756469727,0.0018390658361192986,0.00812373161315918,6.843379107421778e-05,383.5300582621992,0.9507143064099162,11,72,"{'model__alpha': 383.5300582621992, 'model__eta': 0.9507143064099162, 'model__max_depth': 11, 'model__min_child_weight': 72}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,7
0,0.043513154983520506,0.000703366999778482,0.0075358390808105465,0.0005532357223820911,613.0272643802655,0.15601864044243652,3,87,"{'model__alpha': 613.0272643802655, 'model__eta': 0.15601864044243652, 'model__max_depth': 3, 'model__min_child_weight': 87}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,7
0,0.04370660781860351,0.001379451134720872,0.008388566970825195,0.00038727739402158326,59.47859542273625,0.8661761457749352,4,104,"{'model__alpha': 59.47859542273625, 'model__eta': 0.8661761457749352, 'model__max_depth': 4, 'model__min_child_weight': 104}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,7
0,0.04348955154418945,0.0007724923938654267,0.008100461959838868,8.22098237978566e-06,725.0672962256506,0.020584494295802447,2,88,"{'model__alpha': 725.0672962256506, 'model__eta': 0.020584494295802447, 'model__max_depth': 2, 'model__min_child_weight': 88}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,7
0,0.045203638076782224,0.0011178010051723062,0.008311319351196288,0.00047037633797445305,852.4222407421319,0.21233911067827616,12,21,"{'model__alpha': 852.4222407421319, 'model__eta': 0.21233911067827616, 'model__max_depth': 12, 'model__min_child_weight': 21}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,7
0,0.043728065490722653,0.0007628597486108613,0.00829486846923828,0.0004015365386193947,632.3020424212817,0.6116531604882809,13,108,"{'model__alpha': 632.3020424212817, 'model__eta': 0.6116531604882809, 'model__max_depth': 13, 'model__min_child_weight': 108}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,7
0,0.04688806533813476,0.0010680417308039265,0.008052682876586914,4.3057260044206984e-05,23.616899804909735,0.5247746602583891,10,92,"{'model__alpha': 23.616899804909735, 'model__eta': 0.5247746602583891, 'model__max_depth': 10, 'model__min_child_weight': 92}",0.885,0.876,0.88,0.886,0.885,0.8824,0.0038262252939418014,199
0,0.04399051666259766,0.000855844642884059,0.008095216751098634,1.7108024140079593e-05,997.1266278561542,0.23277134043030423,14,47,"{'model__alpha': 997.1266278561542, 'model__eta': 0.23277134043030423, 'model__max_depth': 14, 'model__min_child_weight': 47}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,7
0,0.04410820007324219,0.0009814224279231644,0.007719993591308594,0.0004146137341569114,633.2282501195814,0.38246199126716274,4,64,"{'model__alpha': 633.2282501195814, 'model__eta': 0.38246199126716274, 'model__max_depth': 4, 'model__min_child_weight': 64}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,7
0,0.04411988258361817,0.0007039053009491999,0.008266401290893555,0.000230040073374513,477.96617924843144,0.8599404067363206,7,21,"{'model__alpha': 477.96617924843144, 'model__eta': 0.8599404067363206, 'model__max_depth': 7, 'model__min_child_weight': 21}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,7
