dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03928451538085938,0.004695003066627513,0.013677310943603516,0.00270550350249213,25,0.9868869366005173,24,2,"{'model__max_depth': 25, 'model__min_impurity_decrease': 0.9868869366005173, 'model__min_samples_leaf': 24, 'model__min_samples_split': 2}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04071531295776367,0.0018147351994631954,0.01402578353881836,0.0019149926054920165,12,0.2934881747180381,11,52,"{'model__max_depth': 12, 'model__min_impurity_decrease': 0.2934881747180381, 'model__min_samples_leaf': 11, 'model__min_samples_split': 52}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.041022300720214844,0.0047871133629565615,0.013403654098510742,0.003771317889898063,17,0.71134195274865,35,34,"{'model__max_depth': 17, 'model__min_impurity_decrease': 0.71134195274865, 'model__min_samples_leaf': 35, 'model__min_samples_split': 34}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.040422487258911136,0.0030485507139554565,0.01441187858581543,0.0033793010556760093,27,0.07404465173409036,39,59,"{'model__max_depth': 27, 'model__min_impurity_decrease': 0.07404465173409036, 'model__min_samples_leaf': 39, 'model__min_samples_split': 59}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.03968610763549805,0.0034951133133864225,0.014251184463500977,0.0035000475200926725,9,0.9149596755437808,9,9,"{'model__max_depth': 9, 'model__min_impurity_decrease': 0.9149596755437808, 'model__min_samples_leaf': 9, 'model__min_samples_split': 9}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04193315505981445,0.0036626789604981788,0.01196427345275879,0.004680132104067617,12,0.3308980248526492,48,56,"{'model__max_depth': 12, 'model__min_impurity_decrease': 0.3308980248526492, 'model__min_samples_leaf': 48, 'model__min_samples_split': 56}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.042812538146972653,0.0035500611304494873,0.011783552169799805,0.001431220351056738,23,0.6688412526636073,37,36,"{'model__max_depth': 23, 'model__min_impurity_decrease': 0.6688412526636073, 'model__min_samples_leaf': 37, 'model__min_samples_split': 36}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.0405573844909668,0.003925174868687813,0.014037227630615235,0.005459134505749941,12,0.6375574713552131,27,36,"{'model__max_depth': 12, 'model__min_impurity_decrease': 0.6375574713552131, 'model__min_samples_leaf': 27, 'model__min_samples_split': 36}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.043463706970214844,0.0015779298160128728,0.011308717727661132,0.0023440190543199623,1,0.38292687475378984,47,15,"{'model__max_depth': 1, 'model__min_impurity_decrease': 0.38292687475378984, 'model__min_samples_leaf': 47, 'model__min_samples_split': 15}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.03969030380249024,0.0019371318223448547,0.012141180038452149,0.003064422017786068,3,0.7607850486168974,26,56,"{'model__max_depth': 3, 'model__min_impurity_decrease': 0.7607850486168974, 'model__min_samples_leaf': 26, 'model__min_samples_split': 56}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04329891204833984,0.0071116866185094154,0.016889095306396484,0.005427825684422995,14,0.49379559636439074,9,16,"{'model__max_depth': 14, 'model__min_impurity_decrease': 0.49379559636439074, 'model__min_samples_leaf': 9, 'model__min_samples_split': 16}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04750847816467285,0.005218266973479341,0.011896228790283203,0.0029804996698552864,15,0.11089082081183133,60,14,"{'model__max_depth': 15, 'model__min_impurity_decrease': 0.11089082081183133, 'model__min_samples_leaf': 60, 'model__min_samples_split': 14}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04028644561767578,0.004701972508186856,0.013289403915405274,0.0034309787716891374,19,0.03142918568673425,39,50,"{'model__max_depth': 19, 'model__min_impurity_decrease': 0.03142918568673425, 'model__min_samples_leaf': 39, 'model__min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.0359076976776123,0.0028281779187882155,0.013072395324707031,0.0020445345870304748,20,0.5632755719763837,4,31,"{'model__max_depth': 20, 'model__min_impurity_decrease': 0.5632755719763837, 'model__min_samples_leaf': 4, 'model__min_samples_split': 31}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.036372709274291995,0.0016892110848107079,0.013599824905395509,0.0031408954913908615,5,0.24929222914887494,45,16,"{'model__max_depth': 5, 'model__min_impurity_decrease': 0.24929222914887494, 'model__min_samples_leaf': 45, 'model__min_samples_split': 16}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.034069252014160153,0.004733458991277607,0.009037017822265625,0.004044440499359211,11,0.2030612247347694,13,33,"{'model__max_depth': 11, 'model__min_impurity_decrease': 0.2030612247347694, 'model__min_samples_leaf': 13, 'model__min_samples_split': 33}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
